Search keyword,Search location,Serial,Company,Category,Profile URL,Address,Phone,Email,Website,Rating,Reviews,Year from Business,Email (Website),Phone (Website),Facebook (Web),Twitter (Web),Instagram (Web)
Dumpster,"Dudleyville,AZ",22,1-800-GOT-JUNK? Tucson West,"Rubbish Removal, Rubbish & Garbage Removal & Containers, Recycling Equipment & Services",https://www.yellowpages.com/tucson-az/mip/1-800-got-junk-tucson-west-457383462,"1245 W Giaconda Way, Tucson, AZ 85704",(800) 468-5865,customerservice@1800gotjunk.com,https://www.1800gotjunk.com/us_en,,,2009,,,,,
Dumpster,"Dudleyville,AZ",23,RAD Landfill,Dumps,https://www.yellowpages.com/florence-az/mip/rad-landfill-545451770,"22316 N South Dakota Ave, Florence, AZ 85132",(480) 983-9100,office@rightawaydisposal.com,http://www.radservices.com,,,,,,,,
Dumpster,"Dudleyville,AZ",24,Titan Recycle & Trash,"Rubbish Removal, Recycling Centers",https://www.yellowpages.com/tucson-az/mip/titan-recycle-trash-483373517,"8375 N Oracle Rd, Tucson, AZ 85704",(520) 382-1009,customerservice@titantrash.biz,http://titanrecycleandtrash.com,,,2013,,,,,
Dumpster,"Dudleyville,AZ",25,Ina Road Land Reclamation,"Rubbish Removal, Garbage Collection, Landfills",https://www.yellowpages.com/tucson-az/mip/ina-road-land-reclamation-507525131,"5300 W Ina Rd, Tucson, AZ 85743",(520) 744-7826,ina@ffxsite.net,https://thefairfaxcompanies.com/recycle-and-landfill-services,,,,,,,,
Dumpster,"Dudleyville,AZ",26,Premier Waste Services,"Trash Containers & Dumpsters, Garbage & Rubbish Removal Contractors Equipment, Contractors Equipment & Supplies",https://www.yellowpages.com/phoenix-az/mip/premier-waste-services-439533?lid=1000439507768,"2454 S 7th Ave, Phoenix, AZ 85007",(602) 528-3800,sales@premierwasteservices.com,http://www.premierwasteservices.com,4.5,23,2007,,,,,
Dumpster,"Dudleyville,AZ",27,Arizona Metal Management,"Trash Containers & Dumpsters, Metals, Automobile Parts & Supplies",https://www.yellowpages.com/phoenix-az/mip/arizona-metal-management-6379278?lid=1000437175559,"1839 W Linden St, Phoenix, AZ 85007",(602) 253-7100,amm1839@hotmail.com,,5,2,2007,,,,,
Dumpster,"Gu Oidak,AZ",1,24/7 Emergency Dumpsters,"Trash Containers & Dumpsters, Contractors Equipment & Supplies, Garbage & Rubbish Removal Contractors Equipment",https://www.yellowpages.com/nationwide/mip/24-7-emergency-dumpsters-21081939?lid=1001616737040,,(888) 292-1064,katie@wastecostsolutions.com,http://www.dumpstersrus.org,4,25,2003,,,,,
Dumpster,"Gu Oidak,AZ",2,ASAP Site Services,"Trash Containers & Dumpsters, Garbage & Rubbish Removal Contractors Equipment, Contractors Equipment & Supplies",https://www.yellowpages.com/nationwide/mip/asap-site-services-545537718?lid=1002059523892,"3480 Jackson St, Oshkosh, WI 54901",(800) 289-5496,sales@asapsiteservices.com,https://www.arwoodwaste.com/,3.5,12,2000,,,,,
Dumpster,"Gu Oidak,AZ",3,Cobblestone Container Services,"Trash Containers & Dumpsters, Garbage & Rubbish Removal Contractors Equipment, Contractors Equipment & Supplies",https://www.yellowpages.com/nationwide/mip/cobblestone-container-services-455254399?lid=1001856372623,,(888) 265-9484,,http://cobblestonecontainers.com,4.5,7,2010,,,,,
Dumpster,"Gu Oidak,AZ",4,Landscapes Quick Cleaning & Junk Hauling,"Trash Containers & Dumpsters, Barricades, Rental Service Stores & Yards",https://www.yellowpages.com/nationwide/mip/landscapes-quick-cleaning-junk-hauling-505219555?lid=1000837798045,,(888) 489-0482,sales@togetherwaste.com,https://www.arwoodwaste.com/,4,7,1984,,,,,
Dumpster,"Gu Oidak,AZ",5,WM,"Trash Containers & Dumpsters, Contractors Equipment & Supplies, Garbage Disposal Equipment Industrial & Commercial",https://www.yellowpages.com/nationwide/mip/wm-458937415?lid=1002004319640,,(855) 200-8118,wmcares@wm.com,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsor_pll,,,,,,,,
Dumpster,"Gu Oidak,AZ",6,WM,"Trash Containers & Dumpsters, Rubbish & Garbage Removal & Containers, Trash Hauling",https://www.yellowpages.com/nationwide/mip/wm-537798034?lid=1002153399612,,(855) 201-2477,,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsor_platinum_listing,1.5,11,,,,,,
Dumpster,"Gu Oidak,AZ",7,Rock & Roll Roll-Offs,"Trash Containers & Dumpsters, Garbage & Rubbish Removal Contractors Equipment, Garbage Collection",https://www.yellowpages.com/nationwide/mip/rock-roll-roll-offs-21941749?lid=1000480535599,", PO Box 391, Eaton Park, FL 33840",(520) 404-7585,,,,,,,,,,
Dumpster,"Gu Oidak,AZ",8,Local Dumpster Rental,"Trash Containers & Dumpsters, Garbage Collection, Rubbish & Garbage Removal & Containers",https://www.yellowpages.com/nationwide/mip/local-dumpster-rental-495334342?lid=1002062644145,,(844) 786-5587,info@ldrsiteservices.com,http://www.ldrsiteservices.com/dumpsters,3.5,13,2009,,,,,
Dumpster,"Gu Oidak,AZ",9,Waste Cost Solutions,"Trash Containers & Dumpsters, Garbage & Rubbish Removal Contractors Equipment, Contractors Equipment & Supplies",https://www.yellowpages.com/nationwide/mip/waste-cost-solutions-467171819?lid=1000082998732,"16711 Parkside Ave, Cerritos, CA 90703",(561) 417-0415,katie@wastecostsolutions.com,http://www.wastecostsolutions.com,,,2003,,,,,
Dumpster,"Gu Oidak,AZ",10,Zters Inc.,"Trash Containers & Dumpsters, Contractors Equipment & Supplies, Construction & Building Equipment",https://www.yellowpages.com/nationwide/mip/zters-inc-23198350?lid=1000439013897,,(877) 808-4694,sales@zters.com,https://www.zters.com/yp,,,2009,,,,,
Dumpster,"Gu Oidak,AZ",11,WM,Rubbish & Garbage Removal & Containers,https://www.yellowpages.com/nationwide/mip/wm-571590058?lid=1002145676573,,(855) 200-3961,,,,,,,,,,
Dumpster,"Gu Oidak,AZ",12,Local Dumpster Rentals,Dumpster Rental,https://www.yellowpages.com/nationwide/mip/local-dumpster-rentals-505381713?lid=1002116249438,"6100 Lake Forrest Dr, Atlanta, GA 30328",(844) 605-6554,info@ldrsiteservices.com,https://ldrsiteservices.com/services/dumpster-rental,,,2009,,,,,
Dumpster,"Gu Oidak,AZ",13,Countrywide Disposal,"Dumpster Rental, Portable Toilets",https://www.yellowpages.com/nationwide/mip/countrywide-disposal-573302977?lid=1002155711427,,(844) 815-8773,team@countrywidedisposal.com,https://countrywidedisposal.com,,,,,,,,
Dumpster,"Gu Oidak,AZ",14,United States Bin Service,"Garbage Collection, Waste Recycling & Disposal Service & Equipment, Waste Containers",https://www.yellowpages.com/nationwide/mip/united-states-bin-service-568304770?lid=1002121298435,,(855) 219-6939,info@arwoodsiteservices.com,http://unitedstatesbinservice.com,5,1,,,,,,
Dumpster,"Gu Oidak,AZ",15,WM - Ryan Field Transfer Station,"Trash Containers & Dumpsters, Waste Containers, Recycling Centers",https://www.yellowpages.com/tucson-az/mip/wm-ryan-field-transfer-station-572804679?lid=1002150454945,"6455 S Continental Rd, Tucson, AZ 85735",(520) 492-7768,,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsored&utm_campaign=national,,,1968,,,,,
Dumpster,"Gu Oidak,AZ",16,WM - Tucson Hauling & Transfer Station,"Trash Containers & Dumpsters, Recycling Centers, Waste Containers",https://www.yellowpages.com/tucson-az/mip/wm-tucson-hauling-transfer-station-517410687?lid=1002153395514,"5200 W Ina Rd, Tucson, AZ 85743",(888) 466-0322,,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsored&utm_campaign=national,,,1968,,,,,
Dumpster,"Gu Oidak,AZ",17,WM - Marana Regional Landfill,"Trash Containers & Dumpsters, Waste Recycling & Disposal Service & Equipment, Rubbish & Garbage Removal & Containers",https://www.yellowpages.com/marana-az/mip/wm-marana-regional-landfill-534766827?lid=1002150418478,"14508 W Avra Valley Rd, Marana, AZ 85653",(520) 402-1451,,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsored&utm_campaign=national,,,1968,,,,,
Dumpster,"Gu Oidak,AZ",18,WM - Ajo Landfill,"Trash Containers & Dumpsters, Garbage Collection, Rubbish Removal",https://www.yellowpages.com/ajo-az/mip/wm-ajo-landfill-572807768?lid=1002150459651,"2000 N Ajo Well No 1 Rd, Ajo, AZ 85321",(520) 607-2133,,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsored&utm_campaign=national,,,1968,,,,,
Dumpster,"Gu Oidak,AZ",19,WM - Sahuarita Transfer Station,"Trash Containers & Dumpsters, Landfills, Recycling Centers",https://www.yellowpages.com/sahuarita-az/mip/wm-sahuarita-transfer-station-572804674?lid=1002150456622,"16605 S La Canada Dr, Sahuarita, AZ 85629",(520) 613-0409,,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsored&utm_campaign=national,,,1968,,,,,
Dumpster,"Gu Oidak,AZ",20,WM - Rincon Recycling & Transfer Station,"Trash Containers & Dumpsters, Waste Recycling & Disposal Service & Equipment, Rubbish Removal",https://www.yellowpages.com/tucson-az/mip/wm-rincon-recycling-transfer-station-566292540?lid=1002150422412,"5890 S Mann Ave, Tucson, AZ 85756",(520) 527-0178,,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsored&utm_campaign=national,,,1968,,,,,
Dumpster,"Gu Oidak,AZ",21,WM - Catalina Transfer Station,"Trash Containers & Dumpsters, Garbage Collection, Waste Recycling & Disposal Service & Equipment",https://www.yellowpages.com/tucson-az/mip/wm-catalina-transfer-station-573036251?lid=1002150414787,"14425 N Oracle Rd, Tucson, AZ 85739",(520) 278-5527,,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsored&utm_campaign=national,,,1968,,,,,
Dumpster,"Gu Oidak,AZ",22,WM - Nogales Transfer Station,"Trash Containers & Dumpsters, Waste Recycling & Disposal Service & Equipment, Waste Containers",https://www.yellowpages.com/nogales-az/mip/wm-nogales-transfer-station-572804689?lid=1002150456585,"1450 N Hohokam Dr, Nogales, AZ 85621",(520) 839-0150,,https://www.wm.com/us/en/cpn/nyp-wm-services?cmp=AF-YP-National-ALL&utm_source=yp&utm_medium=sponsored&utm_campaign=national,,,1968,,,,,
Dumpster,"Gu Oidak,AZ",23,Dynamite Dumpsters,"Trash Containers & Dumpsters, Waste Containers, Portable Toilets",https://www.yellowpages.com/sahuarita-az/mip/dynamite-dumpsters-550522135,"986 E Ashburn Mountain Dr, Sahuarita, AZ 85629",(520) 278-5598,tnesbit@dynamitedumpsters.com,https://www.tumbleweeddumpster.com/sahuarita,,,,,,,,
Dumpster,"Gu Oidak,AZ",24,Red Line Dumpster Rental,"Trash Containers & Dumpsters, Trash Hauling, Waste Containers",https://www.yellowpages.com/marana-az/mip/red-line-dumpster-rental-550522512,"14387 N Bannerstone Ct, Marana, AZ 85658",(520) 783-3505,fredrick@redlinedumpsterrental.com,https://www.redlinedumpsterrental.com/marana,,,,,,,,
Dumpster,"Gu Oidak,AZ",25,Area 51 Dumpsters,"Trash Containers & Dumpsters, Portable Toilets, Trash Hauling",https://www.yellowpages.com/tucson-az/mip/area-51-dumpsters-552470490,"2115 E 35th St, Tucson, AZ 85713",(520) 783-4013,eli@area51dumpsters.com,https://www.area51dumpsters.com/tucson,,,,,,,,
Dumpster,"Gu Oidak,AZ",26,Bell Mini Rolloffs,"Trash Containers & Dumpsters, Garbage Collection, Garbage & Rubbish Removal Contractors Equipment",https://www.yellowpages.com/tucson-az/mip/bell-mini-rolloffs-468694670,"3111 W Massingale Rd, Tucson, AZ 85741",(520) 780-2182,,,,,,,,,,
